15:16:49; 5010134008426; Cider; Ginger Joe; 0.300000  
15:18:9; 7090036240726; Alkoholfritt; Sagene Kjørepils; 0.300000  
15:19:32; 5010134008426; Cider; Ginger Joe; 0.300000  
15:20:1; 7033050815044; Øl; Aass Bayer; 0.500000  
15:29:42; 5010134008426; Cider; Ginger Joe; 0.300000  
15:32:0; 7033050815044; Øl; Aass Bayer; 0.500000  
15:34:36; 7090040940070; Øl; Oslo Mellow IPA; 0.300000  
15:35:22; 7033050815549; Glutenfritt; Aass Lite ; 0.300000  
15:38:24; 7090040940070; Øl; Oslo Mellow IPA; 0.300000  
15:39:43; 7090036240726; Alkoholfritt; Sagene Kjørepils; 0.300000  
15:43:23; 7033050815525; Øl; Aass Fatøl; 0.300000  
15:44:2; 7033050815549; Glutenfritt; Aass Lite ; 0.300000  
15:44:23; 7033050815549; Glutenfritt; Aass Lite ; 0.300000  
15:46:7; 5011166018896; Cider; Crabbie's Orignal; 0.500000  
15:46:47; 7090036240726; Alkoholfritt; Sagene Kjørepils; 0.300000  
15:47:13; 5011166018896; Cider; Crabbie's Orignal; 0.500000  
15:47:52; 7033050815525; Øl; Aass Fatøl; 0.300000  
15:48:42; 7033050815525; Øl; Aass Fatøl; 0.300000  
15:50:44; 7090036240726; Alkoholfritt; Sagene Kjørepils; 0.300000  
15:51:14; 7090036240726; Alkoholfritt; Sagene Kjørepils; 0.300000  
15:51:20; 7090040940070; Øl; Oslo Mellow IPA; 0.300000  
15:51:42; 7090036240726; Alkoholfritt; Sagene Kjørepils; 0.300000  
15:56:5; 7090040940070; Øl; Oslo Mellow IPA; 0.300000  
15:57:5; 7090044040127; Alkoholfritt; Klokk&Co FRIPA; 0.300000  
15:57:33; 7090040940070; Øl; Oslo Mellow IPA; 0.300000  
15:58:58; 7090036240726; Alkoholfritt; Sagene Kjørepils; 0.300000  
16:0:15; 5011166018896; Cider; Crabbie's Orignal; 0.500000  
16:1:24; 7033050815549; Glutenfritt; Aass Lite ; 0.300000  
16:1:42; 5011166018896; Cider; Crabbie's Orignal; 0.500000  
16:3:3; 7033050815549; Glutenfritt; Aass Lite ; 0.300000  
16:6:45; 7090036240726; Alkoholfritt; Sagene Kjørepils; 0.300000  
16:7:9; 5011166018896; Cider; Crabbie's Orignal; 0.500000  
16:7:54; 7033050815525; Øl; Aass Fatøl; 0.300000  
16:10:5; 7033050815549; Glutenfritt; Aass Lite ; 0.300000  
16:10:30; 7033050815044; Øl; Aass Bayer; 0.500000  
16:18:26; 5011166018896; Cider; Crabbie's Orignal; 0.500000  
