21:37:49; 7033050815525; Øl; Aass Fatøl; 0.300000  
21:37:57; 7033050815525; Øl; Aass Fatøl; 0.300000  
21:41:28; 7033050815525; Øl; Aass Fatøl; 0.300000  
21:41:30; 7033050815525; Øl; Aass Fatøl; 0.300000  
21:41:34; 7033050815525; Øl; Aass Fatøl; 0.300000  
21:46:32; 7033050815044; Øl; Aass Bayer; 0.500000  
21:46:42; 7033050815525; Øl; Aass Fatøl; 0.300000  
21:46:50; 7033050815525; Øl; Aass Fatøl; 0.300000  
21:47:1; 5011166018896; Cider; Crabbie's Orignal; 0.500000  
21:48:50; 7033050815525; Øl; Aass Fatøl; 0.300000  
21:48:57; 7033050815525; Øl; Aass Fatøl; 0.300000  
21:48:59; 7033050815525; Øl; Aass Fatøl; 0.300000  
21:49:4; 7033050815525; Øl; Aass Fatøl; 0.300000  
21:50:10; 7033050815044; Øl; Aass Bayer; 0.500000  
