19:46:59; 1; Soda; Cola; 0.500000  
19:47:34; 1; Soda; Cola; 0.500000  
19:48:9; 1; Soda; Cola; 0.500000  
19:48:33; 1; Soda; Cola; 0.500000  
19:56:25; 1; Soda; Cola; 0.500000  
20:1:16; 1; Soda; Cola; 0.500000  
20:1:39; 1; Soda; Cola; 0.500000  
20:2:21; 1; Soda; Cola; 0.500000  
20:3:33; 1; Soda; Cola; 0.500000  
20:9:48; 1; Soda; Cola; 0.500000  
20:10:30; 1; Soda; Cola; 0.500000  
20:14:3; 1; Soda; Cola; 0.500000  
20:15:34; 1; Soda; Cola; 0.500000  
20:16:46; 1; Soda; Cola; 0.500000  
20:17:2; 1; Soda; Cola; 0.500000  
20:18:19; 1; Soda; Cola; 0.500000  
20:18:36; 1; Soda; Cola; 0.500000  
20:19:0; 1; Soda; Cola; 0.500000  
20:23:28; 1; Soda; Cola; 0.500000  
20:24:21; 1; Soda; Cola; 0.500000  
20:24:57; 1; Soda; Cola; 0.500000  
20:25:20; 1; Soda; Cola; 0.500000  
20:27:0; 1; Soda; Cola; 0.500000  
20:27:21; 1; Soda; Cola; 0.500000  
20:27:38; 1; Soda; Cola; 0.500000  
20:35:47; 1; Soda; Cola; 0.500000    
21:6:52; 7033050815044; Beer; Aass Bayer; 0.5  
21:6:58; 7033050815044; Beer; Aass Bayer; 0.5  
21:7:48; 7044610874746; Soda; Farris Bris; 0.5  
21:7:52; 7044610874746; Soda; Farris Bris; 0.5  
