 Cider,  Ginger Joe: 3
 Alkoholfritt,  Sagene Kjørepils: 12
 Øl,  Aass Bayer: 13
 Øl,  Oslo Mellow IPA: 14
 Glutenfritt,  Aass Lite : 12
 Øl,  Aass Fatøl: 14
 Cider,  Crabbie's Orignal: 9
 Alkoholfritt,  Klokk&Co FRIPA: 4
 Brus,  Fanta Appelsin: 1
 Cider,  Sommersby Pære: 1
 Cider,  Lade Gaards Cider: 1
 Cider,  Ginger Joe: 3
 Alkoholfritt,  Sagene Kjørepils: 12
 Øl,  Aass Bayer: 13
 Øl,  Oslo Mellow IPA: 14
 Glutenfritt,  Aass Lite : 12
 Øl,  Aass Fatøl: 14
 Cider,  Crabbie's Orignal: 9
 Alkoholfritt,  Klokk&Co FRIPA: 4
 Brus,  Fanta Appelsin: 1
 Cider,  Sommersby Pære: 1
 Cider,  Lade Gaards Cider: 1
