Cider, Ginger Joe: 2
Cider, Crabbie's Orignal: 3
Øl , Aass Bayer: 4
Glutenfritt Øl, Aass Lite 0,5L: 2
Øl, Aass Fatøl 0,3L: 1
Glutenfri Øl, Aass Lite : 9
Alkoholfritt, Aass Uten: 1
Brus, Villa Sukkerfri: 1
Alkoholfritt, Munkholm Bayer: 1
Øl, Tuborg Lite 0,5: 2
Brus, Farris Bris: 1
Alkoholfritt, Munkholm Fruktig IPA: 1
Unknown, Unknown: 1
Cider, Lade Gaards Cider: 1
Alkoholfritt, Sagene Kjørepils: 7
Øl, Oslo Mellow IPA: 4
Alkoholfri Øl, Klokk&Co FRIPA: 1
Cider, Sommersby Eple: 2
Cider, Sommersby Pære: 1
